Vertical,Growth_Last_12_Months,Growth_Since_2021,Funding_2025_Mio_USD,Funding_2024_Mio_USD,Funding_2023_Mio_USD,Funding_2022_Mio_USD,Funding_2021_Mio_USD,Funding_2020_Mio_USD
Total VC,16%,56%,64000.0,56000.0,60000.0,97000.0,116000.0,48000.0
Security,77%,77%,2000.0,1000.0,2000.0,3000.0,3000.0,1000.0
Defense security and resilience,55%,194%,9000.0,6000.0,4000.0,4000.0,4000.0,2000.0
Enterprise Software,54%,91%,15000.0,10000.0,7000.0,19000.0,16000.0,7000.0
Media,32%,61%,2000.0,1000.0,2000.0,2000.0,3000.0,1000.0
Education,30%,40%,966.0,742.0,867.0,2000.0,2000.0,940.0
Fintech,29%,40%,11000.0,9000.0,8000.0,24000.0,29000.0,11000.0
Health,16%,79%,13000.0,11000.0,9000.0,11000.0,16000.0,9000.0
Semiconductors,8%,70%,462.0,428.0,1000.0,447.0,661.0,377.0
Rest Of Deep Tech,3%,79%,12000.0,11000.0,13000.0,16000.0,15000.0,7000.0
Real Estate,-1%,49%,1000.0,1000.0,3000.0,4000.0,3000.0,2000.0
Gaming,-12%,30%,951.0,1000.0,880.0,2000.0,3000.0,880.0
Travel,-14%,90%,1000.0,1000.0,798.0,2000.0,1000.0,944.0
Marketing,-15%,28%,2000.0,2000.0,2000.0,6000.0,7000.0,3000.0
Energy,-23%,66%,6000.0,8000.0,15000.0,12000.0,10000.0,3000.0
