Country,DSR VC funding (2020-2025),DSR VC Funding 2025,% of total funding (2020-2025),% of total funding 2025,Per capita (DSR VC funding 2020-2025/1M population)
United Kingdom,$9.9B,$2.9B,6.9%,12.2%,$143
Germany,$5.4B,$2.1B,8.4%,26.0%,$65
France,$4.1B,$0.856B,6.9%,10.8%,$62
Nordics,$2.9B,$1.0B,5.2%,13.3%,$104
Netherlands,$1.9B,$0.535B,9.4%,16.4%,$105
Southern Europe,$1.6B,$0.462B,5.9%,8.1%,$13
Switzerland,$1.6B,$0.247B,7.6%,6.8%,$175
Rest of Europe,$0.973B,$0.272B,3.3%,8.5%,$34
Rest of CEE,$0.361B,$0.193B,4.3%,14.1%,$2
Baltics,$0.275B,$0.032B,5.2%,7.2%,$45
