Country,DSR VC funding (2020-2025) in $B,DSR VC Funding 2025 in $B,% of total funding (2020-2025),% of total funding 2025,Per capita (DSR VC funding 2020-2025/1M population) in $
United Kingdom,9.9,2.9,6.9,12.2,143
Germany,5.4,2.1,8.4,26.0,65
France,4.1,0.856,6.9,10.8,62
Nordics,2.9,1.0,5.2,13.3,104
Netherlands,1.9,0.535,9.4,16.4,105
Southern Europe,1.6,0.462,5.9,8.1,13
Switzerland,1.6,0.247,7.6,6.8,175
Rest of Europe,0.973,0.272,3.3,8.5,34
Rest of CEE,0.361,0.193,4.3,14.1,2
Baltics,0.275,0.032,5.2,7.2,45
