country,year,num_conflicts,bd_best,bd_low,bd_high,type_of_conflict
Afghanistan,1989,1,5174,1904,17051,Internationalized Intrastate
Afghanistan,1990,1,1478,1323,2275,Intrastate
Afghanistan,1991,1,3302,3156,3802,Intrastate
Afghanistan,1992,1,4276,4259,5460,Intrastate
Afghanistan,1993,1,3721,3713,7805,Intrastate
Afghanistan,1994,1,8937,8937,11955,Intrastate
Afghanistan,1995,1,5516,5516,6490,Intrastate
Afghanistan,1996,1,3177,3161,3638,Intrastate
Afghanistan,1997,1,6396,4244,8281,Intrastate
Afghanistan,1998,1,6256,6168,7698,Intrastate
Afghanistan,1999,1,4629,4594,4945,Intrastate
Afghanistan,2000,1,5235,4053,5511,Intrastate
Afghanistan,2001,2,3725,3605,9732,"Internationalized Intrastate, Interstate"
Afghanistan,2002,1,30,30,30,Intrastate
Afghanistan,2003,1,660,646,984,Internationalized Intrastate
Afghanistan,2004,1,711,669,1245,Internationalized Intrastate
Afghanistan,2005,1,1628,1424,1992,Internationalized Intrastate
Afghanistan,2006,1,4734,4665,5543,Internationalized Intrastate
Afghanistan,2007,1,6848,6303,8386,Internationalized Intrastate
Afghanistan,2008,1,5655,5204,7189,Internationalized Intrastate
Afghanistan,2009,1,6390,5659,8063,Internationalized Intrastate
Afghanistan,2010,1,7038,6865,8465,Internationalized Intrastate
Afghanistan,2011,1,7423,7279,8290,Internationalized Intrastate
Afghanistan,2012,1,7730,7558,8541,Internationalized Intrastate
Afghanistan,2013,1,8048,7612,10172,Internationalized Intrastate
Afghanistan,2014,1,12351,11561,15724,Internationalized Intrastate
Afghanistan,2015,2,17285,16202,20687,Internationalized Intrastate
Afghanistan,2016,2,17916,16503,24706,Internationalized Intrastate
Afghanistan,2017,2,18974,18142,20698,Internationalized Intrastate
Afghanistan,2018,2,25679,24256,29967,Internationalized Intrastate
Afghanistan,2019,2,29903,28017,34723,Internationalized Intrastate
Afghanistan,2020,2,20475,18975,21743,Internationalized Intrastate
Afghanistan,2021,2,35593,33619,39871,Internationalized Intrastate
Afghanistan,2022,2,947,592,1754,Intrastate
Afghanistan,2023,2,241,168,454,Intrastate
Afghanistan,2024,3,195,145,398,"Interstate, Intrastate"
Afghanistan,2025,3,259,124,620,"Interstate, Intrastate"
Algeria,1991,1,34,34,34,Intrastate
Algeria,1992,1,257,257,336,Intrastate
Algeria,1993,1,800,800,860,Intrastate
Algeria,1994,1,1916,1916,2079,Intrastate
Algeria,1995,1,3008,2984,6091,Intrastate
Algeria,1996,1,1084,1078,1507,Intrastate
Algeria,1997,1,1403,1403,2061,Intrastate
Algeria,1998,1,3029,3029,3665,Intrastate
Algeria,1999,1,1031,1031,1059,Intrastate
Algeria,2000,1,947,947,1026,Intrastate
Algeria,2001,1,642,642,866,Intrastate
Algeria,2002,1,539,539,540,Intrastate
Algeria,2003,1,670,670,686,Intrastate
Algeria,2004,1,451,451,467,Internationalized Intrastate
Algeria,2005,1,229,228,262,Intrastate
Algeria,2006,1,255,255,286,Intrastate
Algeria,2007,1,472,471,518,Intrastate
Algeria,2008,1,339,339,410,Intrastate
Algeria,2009,1,505,493,674,Intrastate
Algeria,2010,1,236,236,276,Intrastate
Algeria,2011,1,267,259,273,Intrastate
Algeria,2012,1,256,250,310,Intrastate
Algeria,2013,1,147,147,165,Intrastate
Algeria,2014,1,107,83,147,Intrastate
Algeria,2015,2,110,107,117,Intrastate
Algeria,2016,1,86,82,91,Intrastate
Algeria,2017,1,60,60,73,Intrastate
Algeria,2018,1,33,33,37,Intrastate
Algeria,2020,1,26,26,26,Intrastate
Angola,1989,1,2828,2828,6284,Internationalized Intrastate
Angola,1990,1,2558,2557,4452,Intrastate
Angola,1991,2,516,497,688,Intrastate
Angola,1992,2,2346,2323,3700,Intrastate
Angola,1993,1,12054,12054,23329,Intrastate
Angola,1994,2,3975,3924,11241,Intrastate
Angola,1995,2,187,165,609,Intrastate
Angola,1996,1,29,6,256,Intrastate
Angola,1997,1,51,6,70,Intrastate
Angola,1998,2,1066,1054,1841,Intrastate
Angola,1999,1,2273,2273,6431,Internationalized Intrastate
Angola,2000,1,1000,404,3796,Internationalized Intrastate
Angola,2001,1,1123,1123,2447,Internationalized Intrastate
Angola,2002,2,521,493,900,"Internationalized Intrastate, Intrastate"
Angola,2003,1,25,22,146,Intrastate
Angola,2004,1,25,8,54,Intrastate
Angola,2007,1,25,0,110,Intrastate
Angola,2009,1,25,1,66,Intrastate
Angola,2016,1,25,9,185,Intrastate
Angola,2017,1,25,16,111,Intrastate
Angola,2019,1,25,10,50,Intrastate
Angola,2020,1,25,11,136,Intrastate
Angola,2022,1,25,6,149,Intrastate
Angola,2024,1,25,10,109,Intrastate
Angola,2025,1,25,5,95,Intrastate
Australia,2003,1,7927,7927,13814,Interstate
Azerbaijan,1991,1,35,35,35,Internationalized Intrastate
Azerbaijan,1992,1,2167,2099,3635,Internationalized Intrastate
Azerbaijan,1993,2,1231,1028,1889,"Internationalized Intrastate, Intrastate"
Azerbaijan,1994,1,1507,1257,3937,Intrastate
Azerbaijan,1995,1,44,44,72,Intrastate
Azerbaijan,1997,1,29,29,36,Internationalized Intrastate
Azerbaijan,1998,1,34,34,38,Internationalized Intrastate
Azerbaijan,2005,1,25,25,26,Internationalized Intrastate
Azerbaijan,2008,1,30,30,43,Internationalized Intrastate
Azerbaijan,2012,1,25,25,27,Internationalized Intrastate
Azerbaijan,2014,1,46,45,54,Internationalized Intrastate
Azerbaijan,2015,1,72,65,121,Internationalized Intrastate
Azerbaijan,2016,1,141,141,263,Internationalized Intrastate
Azerbaijan,2017,1,36,36,37,Internationalized Intrastate
Azerbaijan,2020,1,7538,7439,7943,Internationalized Intrastate
Azerbaijan,2021,1,40,40,43,Internationalized Intrastate
Azerbaijan,2022,1,308,308,310,Internationalized Intrastate
Azerbaijan,2023,1,462,462,462,Internationalized Intrastate
Bangladesh,1989,1,26,26,26,Intrastate
Bangladesh,1990,1,45,45,45,Intrastate
Bangladesh,1991,1,25,22,45,Intrastate
Bangladesh,2005,1,62,61,68,Intrastate
Bangladesh,2006,1,57,57,58,Intrastate
Bangladesh,2016,1,41,41,41,Intrastate
Bangladesh,2017,1,47,47,48,Intrastate
Benin,2022,1,30,30,33,Intrastate
Benin,2023,1,28,28,33,Intrastate
Benin,2024,1,77,73,83,Intrastate
Benin,2025,1,149,140,193,Intrastate
