Land;Jahr;Anteil_BIP_Prozent;Militaerausgaben_Mio_USD_konst2023;Quelle
Aegypten;2015;1,71;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2016;1,69;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2017;1,73;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2018;1,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2019;1,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2020;1,24;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2021;1,22;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2022;1,24;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2023;1,19;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aegypten;2024;1,5;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2015;0,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2016;0,74;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2017;0,65;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2018;0,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2019;0,54;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2020;0,63;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2021;0,98;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2022;0,74;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2023;0,65;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aethiopien;2024;0,67;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2015;1,29;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2016;1,28;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2017;1,22;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2018;1,15;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2019;1,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2020;1,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2021;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2022;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2023;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Afghanistan;2024;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2015;1,21;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2016;1,17;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2017;1,23;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2018;1,31;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2019;1,36;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2020;1,59;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2021;1,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2022;1,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2023;1,72;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Albanien;2024;2,03;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2015;6,22;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2016;5,81;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2017;5,82;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2018;5,51;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2019;6,04;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2020;6,7;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2021;5,65;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2022;4,81;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2023;4,88;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Algerien;2024;5,04;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2015;1,77;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2016;2,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2017;2,29;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2018;1,76;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2019;1,57;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2020;1,72;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2021;1,47;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
